,Vyhledávání,Vyhledávání,Vyhledávání,Přístupy,Přístupy,Přístupy,Statistiky přihlášování,Statistiky přihlášování,Statistiky přihlášování
Měsíc,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše
Leden,310,2388,2698,71,901,972,2,383,385
Únor,179,3273,3452,49,949,998,1,463,464
Březen,134,2867,3001,39,772,811,0,298,298
Duben,14,1379,1393,5,526,531,0,159,159
Květen,4,2744,2748,5,791,796,0,318,318
Červen,37,2983,3020,16,879,895,2,316,318
Červenec,200,3783,3983,59,967,1026,2,368,370
Srpen,100,3989,4089,30,878,908,0,453,453
Září,88,2901,2989,50,773,823,2,302,304
Říjen,15,2965,2980,26,809,835,1,336,337
Listopad,1,2293,2294,6,708,714,1,266,267
Souhrnně celkem,1082,31565,32647,356,8953,9309,11,3662,3673
