,Den,Měsíc,Rok,Počet,Typ
0,1,4,2019,44,access
1,2,4,2019,37,access
2,3,4,2019,44,access
3,4,4,2019,46,access
4,5,4,2019,36,access
5,6,4,2019,15,access
6,7,4,2019,26,access
7,8,4,2019,50,access
8,9,4,2019,34,access
9,10,4,2019,44,access
10,11,4,2019,23,access
11,12,4,2019,39,access
12,13,4,2019,15,access
13,14,4,2019,23,access
14,15,4,2019,53,access
15,16,4,2019,29,access
16,17,4,2019,30,access
17,18,4,2019,22,access
18,19,4,2019,18,access
19,20,4,2019,11,access
20,21,4,2019,19,access
21,22,4,2019,21,access
22,23,4,2019,37,access
23,24,4,2019,44,access
24,25,4,2019,20,access
25,26,4,2019,43,access
26,27,4,2019,7,access
27,28,4,2019,26,access
28,29,4,2019,55,access
29,30,4,2019,31,access
