,Den,Měsíc,Rok,Počet,Typ
0,1,6,2019,10,login
1,2,6,2019,21,login
2,3,6,2019,25,login
3,4,6,2019,21,login
4,5,6,2019,19,login
5,6,6,2019,9,login
6,7,6,2019,14,login
7,8,6,2019,10,login
8,9,6,2019,8,login
9,10,6,2019,24,login
10,11,6,2019,21,login
11,12,6,2019,5,login
12,13,6,2019,5,login
13,14,6,2019,19,login
14,15,6,2019,15,login
15,16,6,2019,25,login
16,17,6,2019,19,login
17,18,6,2019,20,login
18,19,6,2019,18,login
19,20,6,2019,15,login
20,21,6,2019,14,login
21,22,6,2019,22,login
22,23,6,2019,10,login
23,24,6,2019,21,login
24,25,6,2019,10,login
25,26,6,2019,16,login
26,27,6,2019,11,login
27,28,6,2019,23,login
28,29,6,2019,4,login
29,30,6,2019,6,login
