,Den,Měsíc,Rok,Počet,Typ
0,1,5,2019,0,search
1,2,5,2019,0,search
2,3,5,2019,0,search
3,4,5,2019,0,search
4,5,5,2019,0,search
5,6,5,2019,0,search
6,7,5,2019,0,search
7,8,5,2019,0,search
8,9,5,2019,0,search
9,10,5,2019,0,search
10,11,5,2019,0,search
11,12,5,2019,0,search
12,13,5,2019,0,search
13,14,5,2019,0,search
14,15,5,2019,0,search
15,16,5,2019,0,search
16,17,5,2019,0,search
17,18,5,2019,0,search
18,19,5,2019,0,search
19,20,5,2019,0,search
20,21,5,2019,0,search
21,22,5,2019,0,search
22,23,5,2019,0,search
23,24,5,2019,0,search
24,25,5,2019,0,search
25,26,5,2019,0,search
26,27,5,2019,0,search
27,28,5,2019,0,search
28,29,5,2019,0,search
29,30,5,2019,0,search
30,31,5,2019,0,search
